population,population_batch,group_size,sigma,es_lr,epochs,returncode,elapsed_s,last_test_acc,time_to_90_s,stdout,stderr
256,256,32,10.0,1.0,5,0,17.103002653999283,0.089,inf,"epoch=2 train_loss=4.7587 train_acc=0.0000 test_loss=3.9490 test_acc=0.0949
epoch=3 train_loss=5.5947 train_acc=0.0000 test_loss=4.4906 test_acc=0.0856
epoch=4 train_loss=4.6661 train_acc=0.1250 test_loss=4.3736 test_acc=0.0833
epoch=5 train_loss=4.7540 train_acc=0.0000 test_loss=4.1945 test_acc=0.0890
time_to_90pct=not_reached elapsed=4.29s",
256,256,32,10.0,0.1,5,0,12.072716085000138,0.0829,inf,"epoch=2 train_loss=2.3304 train_acc=0.0000 test_loss=2.3307 test_acc=0.0851
epoch=3 train_loss=2.3929 train_acc=0.0000 test_loss=2.3326 test_acc=0.0803
epoch=4 train_loss=2.3645 train_acc=0.1250 test_loss=2.3300 test_acc=0.0822
epoch=5 train_loss=2.2541 train_acc=0.0000 test_loss=2.3283 test_acc=0.0829
time_to_90pct=not_reached elapsed=3.60s",
256,256,32,1.0,1.0,5,0,11.657240610998997,0.1025,inf,"epoch=2 train_loss=4.8237 train_acc=0.0000 test_loss=3.9629 test_acc=0.0973
epoch=3 train_loss=5.4309 train_acc=0.0000 test_loss=4.4169 test_acc=0.0882
epoch=4 train_loss=4.2907 train_acc=0.1250 test_loss=4.2439 test_acc=0.0902
epoch=5 train_loss=4.4678 train_acc=0.0000 test_loss=4.0082 test_acc=0.1025
time_to_90pct=not_reached elapsed=3.55s",
256,256,32,1.0,0.1,5,0,13.066899934998219,0.0829,inf,"epoch=2 train_loss=2.3300 train_acc=0.0000 test_loss=2.3297 test_acc=0.0836
epoch=3 train_loss=2.3822 train_acc=0.0000 test_loss=2.3307 test_acc=0.0793
epoch=4 train_loss=2.3605 train_acc=0.1250 test_loss=2.3274 test_acc=0.0812
epoch=5 train_loss=2.2433 train_acc=0.0000 test_loss=2.3244 test_acc=0.0829
time_to_90pct=not_reached elapsed=3.92s",
256,256,32,0.1,1.0,5,0,12.619288958001562,0.1018,inf,"epoch=2 train_loss=4.2752 train_acc=0.0000 test_loss=3.9531 test_acc=0.1152
epoch=3 train_loss=3.6525 train_acc=0.2500 test_loss=3.7161 test_acc=0.1062
epoch=4 train_loss=2.7916 train_acc=0.1250 test_loss=3.5997 test_acc=0.1102
epoch=5 train_loss=3.3093 train_acc=0.0000 test_loss=3.4917 test_acc=0.1018
time_to_90pct=not_reached elapsed=4.11s",
256,256,32,0.1,0.1,5,0,12.926541400000133,0.0852,inf,"epoch=2 train_loss=2.3195 train_acc=0.0000 test_loss=2.3249 test_acc=0.0720
epoch=3 train_loss=2.3241 train_acc=0.1250 test_loss=2.3168 test_acc=0.0783
epoch=4 train_loss=2.3343 train_acc=0.1250 test_loss=2.3083 test_acc=0.0810
epoch=5 train_loss=2.1935 train_acc=0.0000 test_loss=2.3023 test_acc=0.0852
time_to_90pct=not_reached elapsed=3.85s",
256,256,64,10.0,1.0,5,0,12.945116889000928,0.0895,inf,"epoch=2 train_loss=3.9184 train_acc=0.0000 test_loss=3.5634 test_acc=0.0741
epoch=3 train_loss=3.1690 train_acc=0.0000 test_loss=4.2600 test_acc=0.0992
epoch=4 train_loss=4.3561 train_acc=0.0000 test_loss=4.0718 test_acc=0.0840
epoch=5 train_loss=5.2252 train_acc=0.0000 test_loss=3.9333 test_acc=0.0895
time_to_90pct=not_reached elapsed=4.19s",
256,256,64,10.0,0.1,5,0,13.058341428997664,0.0962,inf,"epoch=2 train_loss=2.5200 train_acc=0.0000 test_loss=2.3506 test_acc=0.0927
epoch=3 train_loss=2.2459 train_acc=0.0000 test_loss=2.3457 test_acc=0.1004
epoch=4 train_loss=2.4262 train_acc=0.0000 test_loss=2.3497 test_acc=0.0960
epoch=5 train_loss=2.6507 train_acc=0.0000 test_loss=2.3464 test_acc=0.0962
time_to_90pct=not_reached elapsed=4.06s",
256,256,64,1.0,1.0,5,0,12.753442756998993,0.0905,inf,"epoch=2 train_loss=3.6781 train_acc=0.0000 test_loss=3.5595 test_acc=0.0740
epoch=3 train_loss=3.2201 train_acc=0.0000 test_loss=4.3829 test_acc=0.0928
epoch=4 train_loss=4.2152 train_acc=0.0000 test_loss=4.0800 test_acc=0.0816
epoch=5 train_loss=4.8621 train_acc=0.0000 test_loss=3.8644 test_acc=0.0905
time_to_90pct=not_reached elapsed=4.03s",
256,256,64,1.0,0.1,5,0,12.95510641600049,0.0959,inf,"epoch=2 train_loss=2.5141 train_acc=0.0000 test_loss=2.3505 test_acc=0.0927
epoch=3 train_loss=2.2456 train_acc=0.0000 test_loss=2.3453 test_acc=0.1014
epoch=4 train_loss=2.4213 train_acc=0.0000 test_loss=2.3489 test_acc=0.0966
epoch=5 train_loss=2.6356 train_acc=0.0000 test_loss=2.3451 test_acc=0.0959
time_to_90pct=not_reached elapsed=4.08s",
256,256,64,0.1,1.0,5,0,12.293649895000271,0.0999,inf,"epoch=2 train_loss=1.9721 train_acc=0.2500 test_loss=3.3634 test_acc=0.0967
epoch=3 train_loss=2.0521 train_acc=0.2500 test_loss=3.7307 test_acc=0.0889
epoch=4 train_loss=2.8086 train_acc=0.2500 test_loss=3.6287 test_acc=0.0987
epoch=5 train_loss=3.4638 train_acc=0.0000 test_loss=3.4001 test_acc=0.0999
time_to_90pct=not_reached elapsed=3.46s",
256,256,64,0.1,0.1,5,0,12.232028657999763,0.099,inf,"epoch=2 train_loss=2.4464 train_acc=0.0000 test_loss=2.3465 test_acc=0.0950
epoch=3 train_loss=2.2296 train_acc=0.0000 test_loss=2.3364 test_acc=0.1029
epoch=4 train_loss=2.3392 train_acc=0.0000 test_loss=2.3320 test_acc=0.0989
epoch=5 train_loss=2.5170 train_acc=0.0000 test_loss=2.3295 test_acc=0.0990
time_to_90pct=not_reached elapsed=3.92s",
256,256,128,10.0,1.0,5,0,12.193498838001688,0.078,inf,"epoch=2 train_loss=3.8115 train_acc=0.0000 test_loss=4.0586 test_acc=0.0582
epoch=3 train_loss=7.5917 train_acc=0.0000 test_loss=4.6351 test_acc=0.0772
epoch=4 train_loss=5.2683 train_acc=0.0000 test_loss=4.6926 test_acc=0.0731
epoch=5 train_loss=3.8830 train_acc=0.0000 test_loss=4.7701 test_acc=0.0780
time_to_90pct=not_reached elapsed=3.94s",
256,256,128,10.0,0.1,5,0,11.882967284000188,0.0908,inf,"epoch=2 train_loss=2.1912 train_acc=0.0000 test_loss=2.3444 test_acc=0.0847
epoch=3 train_loss=2.3957 train_acc=0.0000 test_loss=2.3412 test_acc=0.0909
epoch=4 train_loss=2.5167 train_acc=0.0000 test_loss=2.3426 test_acc=0.0908
epoch=5 train_loss=2.2351 train_acc=0.0000 test_loss=2.3418 test_acc=0.0908
time_to_90pct=not_reached elapsed=3.59s",
256,256,128,1.0,1.0,5,0,12.695813996000652,0.0698,inf,"epoch=2 train_loss=3.4640 train_acc=0.0000 test_loss=4.0247 test_acc=0.0590
epoch=3 train_loss=6.7114 train_acc=0.0000 test_loss=4.5338 test_acc=0.0717
epoch=4 train_loss=3.9711 train_acc=0.0000 test_loss=4.4311 test_acc=0.0682
epoch=5 train_loss=2.7920 train_acc=0.0000 test_loss=4.4382 test_acc=0.0698
time_to_90pct=not_reached elapsed=3.89s",
256,256,128,1.0,0.1,5,0,12.405074800000875,0.0899,inf,"epoch=2 train_loss=2.1829 train_acc=0.0000 test_loss=2.3444 test_acc=0.0850
epoch=3 train_loss=2.3801 train_acc=0.0000 test_loss=2.3413 test_acc=0.0914
epoch=4 train_loss=2.5105 train_acc=0.0000 test_loss=2.3427 test_acc=0.0897
epoch=5 train_loss=2.2230 train_acc=0.0000 test_loss=2.3405 test_acc=0.0899
time_to_90pct=not_reached elapsed=3.67s",
256,256,128,0.1,1.0,5,0,13.18009076999806,0.0929,inf,"epoch=2 train_loss=0.9446 train_acc=1.0000 test_loss=3.5065 test_acc=0.1008
epoch=3 train_loss=2.3955 train_acc=0.5000 test_loss=4.0051 test_acc=0.0835
epoch=4 train_loss=3.8734 train_acc=0.0000 test_loss=3.6771 test_acc=0.0823
epoch=5 train_loss=0.8819 train_acc=0.5000 test_loss=3.7777 test_acc=0.0929
time_to_90pct=not_reached elapsed=3.86s",
256,256,128,0.1,0.1,5,0,12.262799694999558,0.0901,inf,"epoch=2 train_loss=2.0939 train_acc=0.0000 test_loss=2.3480 test_acc=0.0879
epoch=3 train_loss=2.2438 train_acc=0.5000 test_loss=2.3466 test_acc=0.0906
epoch=4 train_loss=2.4835 train_acc=0.0000 test_loss=2.3463 test_acc=0.0855
epoch=5 train_loss=2.1829 train_acc=0.0000 test_loss=2.3426 test_acc=0.0901
time_to_90pct=not_reached elapsed=3.99s",
512,256,32,10.0,1.0,5,0,12.208579024001665,0.1046,inf,"epoch=2 train_loss=2.4154 train_acc=0.1250 test_loss=2.6067 test_acc=0.1484
epoch=3 train_loss=2.9711 train_acc=0.0625 test_loss=2.7615 test_acc=0.1176
epoch=4 train_loss=2.7035 train_acc=0.0625 test_loss=2.7540 test_acc=0.1173
epoch=5 train_loss=3.0534 train_acc=0.0000 test_loss=2.7674 test_acc=0.1046
time_to_90pct=not_reached elapsed=3.79s",
512,256,32,10.0,0.1,5,0,12.510609524997562,0.0944,inf,"epoch=2 train_loss=2.3533 train_acc=0.0625 test_loss=2.3279 test_acc=0.0916
epoch=3 train_loss=2.3951 train_acc=0.0000 test_loss=2.3286 test_acc=0.0896
epoch=4 train_loss=2.3028 train_acc=0.1875 test_loss=2.3277 test_acc=0.0934
epoch=5 train_loss=2.3589 train_acc=0.0000 test_loss=2.3272 test_acc=0.0944
time_to_90pct=not_reached elapsed=3.97s",
512,256,32,1.0,1.0,5,0,11.901914214999124,0.1053,inf,"epoch=2 train_loss=2.3803 train_acc=0.1250 test_loss=2.5935 test_acc=0.1538
epoch=3 train_loss=2.9570 train_acc=0.0000 test_loss=2.7663 test_acc=0.1194
epoch=4 train_loss=2.6413 train_acc=0.0000 test_loss=2.7442 test_acc=0.1133
epoch=5 train_loss=2.9212 train_acc=0.0000 test_loss=2.7370 test_acc=0.1053
time_to_90pct=not_reached elapsed=3.81s",
512,256,32,1.0,0.1,5,0,11.989822174000437,0.096,inf,"epoch=2 train_loss=2.3499 train_acc=0.0625 test_loss=2.3270 test_acc=0.0917
epoch=3 train_loss=2.3924 train_acc=0.0000 test_loss=2.3273 test_acc=0.0907
epoch=4 train_loss=2.2985 train_acc=0.1875 test_loss=2.3259 test_acc=0.0942
epoch=5 train_loss=2.3551 train_acc=0.0000 test_loss=2.3242 test_acc=0.0960
time_to_90pct=not_reached elapsed=3.67s",
512,256,32,0.1,1.0,5,0,12.632023395002761,0.1785,inf,"epoch=2 train_loss=2.0786 train_acc=0.3125 test_loss=2.6375 test_acc=0.1638
epoch=3 train_loss=2.7272 train_acc=0.0625 test_loss=2.7723 test_acc=0.1256
epoch=4 train_loss=2.2576 train_acc=0.3750 test_loss=2.5677 test_acc=0.1749
epoch=5 train_loss=2.5069 train_acc=0.3125 test_loss=2.5165 test_acc=0.1785
time_to_90pct=not_reached elapsed=4.16s",
512,256,32,0.1,0.1,5,0,13.838335311000264,0.1021,inf,"epoch=2 train_loss=2.3273 train_acc=0.0625 test_loss=2.3245 test_acc=0.0914
epoch=3 train_loss=2.3801 train_acc=0.0000 test_loss=2.3197 test_acc=0.0933
epoch=4 train_loss=2.2487 train_acc=0.2500 test_loss=2.3124 test_acc=0.0997
epoch=5 train_loss=2.3301 train_acc=0.0000 test_loss=2.3078 test_acc=0.1021
time_to_90pct=not_reached elapsed=4.15s",
512,512,32,10.0,1.0,5,0,11.954494091001834,0.0771,inf,"epoch=2 train_loss=2.4801 train_acc=0.1875 test_loss=2.5693 test_acc=0.0983
epoch=3 train_loss=2.6234 train_acc=0.0000 test_loss=2.8347 test_acc=0.0913
epoch=4 train_loss=2.6313 train_acc=0.1250 test_loss=2.8251 test_acc=0.0883
epoch=5 train_loss=2.9254 train_acc=0.0000 test_loss=2.8435 test_acc=0.0771
time_to_90pct=not_reached elapsed=3.73s",
512,512,32,10.0,0.1,5,0,12.359513081999467,0.1062,inf,"epoch=2 train_loss=2.3531 train_acc=0.1250 test_loss=2.3298 test_acc=0.0954
epoch=3 train_loss=2.4082 train_acc=0.0000 test_loss=2.3290 test_acc=0.1009
epoch=4 train_loss=2.2730 train_acc=0.1875 test_loss=2.3292 test_acc=0.1074
epoch=5 train_loss=2.3687 train_acc=0.0000 test_loss=2.3299 test_acc=0.1062
time_to_90pct=not_reached elapsed=4.01s",
512,512,32,1.0,1.0,5,0,13.13248048099922,0.0877,inf,"epoch=2 train_loss=2.4678 train_acc=0.1250 test_loss=2.5738 test_acc=0.1043
epoch=3 train_loss=2.6247 train_acc=0.0625 test_loss=2.8407 test_acc=0.0903
epoch=4 train_loss=2.5117 train_acc=0.1875 test_loss=2.8128 test_acc=0.0951
epoch=5 train_loss=2.8071 train_acc=0.0000 test_loss=2.7994 test_acc=0.0877
time_to_90pct=not_reached elapsed=3.93s",
512,512,32,1.0,0.1,5,0,12.271821518999786,0.1087,inf,"epoch=2 train_loss=2.3499 train_acc=0.1250 test_loss=2.3288 test_acc=0.0956
epoch=3 train_loss=2.4048 train_acc=0.0000 test_loss=2.3273 test_acc=0.1019
epoch=4 train_loss=2.2686 train_acc=0.1875 test_loss=2.3270 test_acc=0.1089
epoch=5 train_loss=2.3636 train_acc=0.0625 test_loss=2.3269 test_acc=0.1087
time_to_90pct=not_reached elapsed=3.95s",
512,512,32,0.1,1.0,5,0,11.937177916999644,0.1398,inf,"epoch=2 train_loss=2.4471 train_acc=0.2500 test_loss=2.8052 test_acc=0.1258
epoch=3 train_loss=2.5107 train_acc=0.1875 test_loss=2.9733 test_acc=0.1077
epoch=4 train_loss=1.8863 train_acc=0.3750 test_loss=2.6975 test_acc=0.1206
epoch=5 train_loss=2.8640 train_acc=0.1250 test_loss=2.6058 test_acc=0.1398
time_to_90pct=not_reached elapsed=3.94s",
512,512,32,0.1,0.1,5,0,12.879993502003344,0.121,inf,"epoch=2 train_loss=2.3194 train_acc=0.1250 test_loss=2.3203 test_acc=0.0952
epoch=3 train_loss=2.3665 train_acc=0.0000 test_loss=2.3107 test_acc=0.1094
epoch=4 train_loss=2.2047 train_acc=0.1875 test_loss=2.3042 test_acc=0.1173
epoch=5 train_loss=2.3509 train_acc=0.0000 test_loss=2.2997 test_acc=0.1210
time_to_90pct=not_reached elapsed=3.91s",
512,256,64,10.0,1.0,5,0,12.432524920001015,0.1036,inf,"epoch=2 train_loss=2.3194 train_acc=0.1250 test_loss=2.7889 test_acc=0.0893
epoch=3 train_loss=3.3680 train_acc=0.0000 test_loss=2.7513 test_acc=0.0956
epoch=4 train_loss=3.4269 train_acc=0.0000 test_loss=2.8216 test_acc=0.1027
epoch=5 train_loss=3.0076 train_acc=0.1250 test_loss=2.8903 test_acc=0.1036
time_to_90pct=not_reached elapsed=3.92s",
512,256,64,10.0,0.1,5,0,13.085601271999622,0.0989,inf,"epoch=2 train_loss=2.3077 train_acc=0.0000 test_loss=2.3309 test_acc=0.0947
epoch=3 train_loss=2.3858 train_acc=0.1250 test_loss=2.3283 test_acc=0.0993
epoch=4 train_loss=2.3412 train_acc=0.1250 test_loss=2.3259 test_acc=0.1005
epoch=5 train_loss=2.3609 train_acc=0.0000 test_loss=2.3269 test_acc=0.0989
time_to_90pct=not_reached elapsed=3.79s",
512,256,64,1.0,1.0,5,0,13.310848983997857,0.1159,inf,"epoch=2 train_loss=2.2397 train_acc=0.1250 test_loss=2.7896 test_acc=0.0901
epoch=3 train_loss=3.2292 train_acc=0.0000 test_loss=2.7094 test_acc=0.0976
epoch=4 train_loss=3.2526 train_acc=0.0000 test_loss=2.6904 test_acc=0.1022
epoch=5 train_loss=2.5619 train_acc=0.1250 test_loss=2.6937 test_acc=0.1159
time_to_90pct=not_reached elapsed=3.97s",
512,256,64,1.0,0.1,5,0,12.4536653139985,0.1008,inf,"epoch=2 train_loss=2.3065 train_acc=0.0000 test_loss=2.3304 test_acc=0.0952
epoch=3 train_loss=2.3819 train_acc=0.1250 test_loss=2.3278 test_acc=0.1007
epoch=4 train_loss=2.3394 train_acc=0.1250 test_loss=2.3249 test_acc=0.1018
epoch=5 train_loss=2.3490 train_acc=0.0000 test_loss=2.3250 test_acc=0.1008
time_to_90pct=not_reached elapsed=3.89s",
512,256,64,0.1,1.0,5,0,12.360842230002163,0.1475,inf,"epoch=2 train_loss=1.7939 train_acc=0.2500 test_loss=2.8427 test_acc=0.1203
epoch=3 train_loss=2.5510 train_acc=0.0000 test_loss=2.5403 test_acc=0.1218
epoch=4 train_loss=2.7995 train_acc=0.0000 test_loss=2.4714 test_acc=0.1382
epoch=5 train_loss=2.0997 train_acc=0.3750 test_loss=2.4480 test_acc=0.1475
time_to_90pct=not_reached elapsed=4.09s",
512,256,64,0.1,0.1,5,0,12.77710658200158,0.1075,inf,"epoch=2 train_loss=2.2719 train_acc=0.0000 test_loss=2.3224 test_acc=0.0921
epoch=3 train_loss=2.3415 train_acc=0.1250 test_loss=2.3179 test_acc=0.1018
epoch=4 train_loss=2.3188 train_acc=0.1250 test_loss=2.3103 test_acc=0.1044
epoch=5 train_loss=2.2723 train_acc=0.0000 test_loss=2.3070 test_acc=0.1075
time_to_90pct=not_reached elapsed=4.00s",
512,512,64,10.0,1.0,5,0,12.120853161002742,0.1058,inf,"epoch=2 train_loss=2.7951 train_acc=0.0000 test_loss=2.6641 test_acc=0.1000
epoch=3 train_loss=2.7154 train_acc=0.0000 test_loss=2.7261 test_acc=0.1014
epoch=4 train_loss=2.9071 train_acc=0.1250 test_loss=2.7048 test_acc=0.1021
epoch=5 train_loss=1.8652 train_acc=0.2500 test_loss=2.7343 test_acc=0.1058
time_to_90pct=not_reached elapsed=3.88s",
512,512,64,10.0,0.1,5,0,13.750161236999702,0.0967,inf,"epoch=2 train_loss=2.3164 train_acc=0.0000 test_loss=2.3308 test_acc=0.0946
epoch=3 train_loss=2.4048 train_acc=0.1250 test_loss=2.3305 test_acc=0.0994
epoch=4 train_loss=2.3590 train_acc=0.1250 test_loss=2.3307 test_acc=0.0980
epoch=5 train_loss=2.3274 train_acc=0.0000 test_loss=2.3306 test_acc=0.0967
time_to_90pct=not_reached elapsed=3.95s",
