population,population_batch,group_size,sigma,es_lr,epochs,returncode,elapsed_s,last_test_acc,time_to_90_s,stdout,stderr
512,256,32,0.05,0.5,10,0,15.78563794799993,0.1986,inf,"epoch=7 train_loss=2.0905 train_acc=0.1875 test_loss=2.2553 test_acc=0.1871
epoch=8 train_loss=1.9853 train_acc=0.3125 test_loss=2.2378 test_acc=0.1964
epoch=9 train_loss=2.3278 train_acc=0.1250 test_loss=2.2362 test_acc=0.1970
epoch=10 train_loss=2.0443 train_acc=0.3125 test_loss=2.2351 test_acc=0.1986
time_to_90pct=not_reached elapsed=7.13s",
512,256,32,0.05,1.0,10,0,18.016621378999844,0.1696,inf,"epoch=7 train_loss=2.2231 train_acc=0.1875 test_loss=2.7025 test_acc=0.1600
epoch=8 train_loss=2.5180 train_acc=0.1250 test_loss=2.6662 test_acc=0.1660
epoch=9 train_loss=2.8453 train_acc=0.1250 test_loss=2.6454 test_acc=0.1675
epoch=10 train_loss=2.2794 train_acc=0.2500 test_loss=2.6411 test_acc=0.1696
time_to_90pct=not_reached elapsed=8.59s",
512,256,32,0.05,2.0,10,0,18.480545359001553,0.1752,inf,"epoch=7 train_loss=2.8837 train_acc=0.2500 test_loss=4.6765 test_acc=0.1677
epoch=8 train_loss=3.8476 train_acc=0.1250 test_loss=4.5882 test_acc=0.1740
epoch=9 train_loss=4.8658 train_acc=0.0625 test_loss=4.5304 test_acc=0.1758
epoch=10 train_loss=3.7238 train_acc=0.2500 test_loss=4.5181 test_acc=0.1752
time_to_90pct=not_reached elapsed=8.67s",
512,256,32,0.1,0.5,10,0,18.682923447002395,0.2049,inf,"epoch=7 train_loss=1.9585 train_acc=0.3750 test_loss=2.2852 test_acc=0.1776
epoch=8 train_loss=2.0439 train_acc=0.4375 test_loss=2.2666 test_acc=0.2082
epoch=9 train_loss=2.3931 train_acc=0.0625 test_loss=2.2706 test_acc=0.2022
epoch=10 train_loss=2.0862 train_acc=0.1250 test_loss=2.2694 test_acc=0.2049
time_to_90pct=not_reached elapsed=8.81s",
512,256,32,0.1,1.0,10,0,17.315255621000688,0.2103,inf,"epoch=7 train_loss=1.6109 train_acc=0.4375 test_loss=2.7143 test_acc=0.1806
epoch=8 train_loss=2.6058 train_acc=0.3750 test_loss=2.6734 test_acc=0.2064
epoch=9 train_loss=2.6048 train_acc=0.1875 test_loss=2.6535 test_acc=0.2107
epoch=10 train_loss=2.6155 train_acc=0.0625 test_loss=2.6471 test_acc=0.2103
time_to_90pct=not_reached elapsed=7.78s",
512,256,32,0.1,2.0,10,0,17.944608506000804,0.2296,inf,"epoch=7 train_loss=2.1115 train_acc=0.4375 test_loss=5.3427 test_acc=0.2158
epoch=8 train_loss=5.9353 train_acc=0.1875 test_loss=5.2243 test_acc=0.2267
epoch=9 train_loss=3.9541 train_acc=0.3125 test_loss=5.1738 test_acc=0.2309
epoch=10 train_loss=4.5872 train_acc=0.1250 test_loss=5.1508 test_acc=0.2296
time_to_90pct=not_reached elapsed=8.13s",
512,256,32,0.2,0.5,10,0,16.105988829000125,0.141,inf,"epoch=7 train_loss=2.1037 train_acc=0.1875 test_loss=2.3360 test_acc=0.1189
epoch=8 train_loss=2.1323 train_acc=0.2500 test_loss=2.3155 test_acc=0.1371
epoch=9 train_loss=2.3421 train_acc=0.0625 test_loss=2.3219 test_acc=0.1376
epoch=10 train_loss=2.0959 train_acc=0.2500 test_loss=2.3187 test_acc=0.1410
time_to_90pct=not_reached elapsed=7.80s",
512,256,32,0.2,1.0,10,0,16.819188572000712,0.1477,inf,"epoch=7 train_loss=1.8344 train_acc=0.2500 test_loss=2.9289 test_acc=0.1315
epoch=8 train_loss=2.6136 train_acc=0.2500 test_loss=2.8669 test_acc=0.1393
epoch=9 train_loss=2.5592 train_acc=0.1875 test_loss=2.8287 test_acc=0.1449
epoch=10 train_loss=2.8314 train_acc=0.1875 test_loss=2.8092 test_acc=0.1477
time_to_90pct=not_reached elapsed=7.92s",
512,256,32,0.2,2.0,10,0,15.776670928000385,0.2092,inf,"epoch=7 train_loss=2.6850 train_acc=0.5625 test_loss=6.7221 test_acc=0.1805
epoch=8 train_loss=5.7185 train_acc=0.3750 test_loss=6.4281 test_acc=0.2001
epoch=9 train_loss=4.9401 train_acc=0.2500 test_loss=6.2980 test_acc=0.2083
epoch=10 train_loss=7.3862 train_acc=0.1250 test_loss=6.2319 test_acc=0.2092
time_to_90pct=not_reached elapsed=7.67s",
512,512,32,0.05,0.5,10,0,16.436696325999947,0.2014,inf,"epoch=7 train_loss=2.1552 train_acc=0.2500 test_loss=2.1940 test_acc=0.1953
epoch=8 train_loss=1.7791 train_acc=0.5625 test_loss=2.1891 test_acc=0.2023
epoch=9 train_loss=2.2276 train_acc=0.0625 test_loss=2.1946 test_acc=0.2017
epoch=10 train_loss=2.0611 train_acc=0.2500 test_loss=2.1915 test_acc=0.2014
time_to_90pct=not_reached elapsed=8.05s",
512,512,32,0.05,1.0,10,0,16.114053514997067,0.2218,inf,"epoch=7 train_loss=2.1021 train_acc=0.1250 test_loss=2.3756 test_acc=0.2090
epoch=8 train_loss=1.4356 train_acc=0.5000 test_loss=2.3651 test_acc=0.2228
epoch=9 train_loss=2.4491 train_acc=0.1250 test_loss=2.3652 test_acc=0.2226
epoch=10 train_loss=2.0096 train_acc=0.3125 test_loss=2.3589 test_acc=0.2218
time_to_90pct=not_reached elapsed=7.83s",
512,512,32,0.05,2.0,10,0,16.917057201000716,0.2675,inf,"epoch=7 train_loss=1.9665 train_acc=0.5000 test_loss=3.5461 test_acc=0.2591
epoch=8 train_loss=2.3624 train_acc=0.3750 test_loss=3.5148 test_acc=0.2690
epoch=9 train_loss=3.3207 train_acc=0.3125 test_loss=3.5292 test_acc=0.2675
epoch=10 train_loss=2.6124 train_acc=0.2500 test_loss=3.5325 test_acc=0.2675
time_to_90pct=not_reached elapsed=8.07s",
512,512,32,0.1,0.5,10,0,16.07965858999887,0.1555,inf,"epoch=7 train_loss=2.3250 train_acc=0.1250 test_loss=2.3122 test_acc=0.1494
epoch=8 train_loss=2.0688 train_acc=0.3125 test_loss=2.3000 test_acc=0.1567
epoch=9 train_loss=2.3053 train_acc=0.0625 test_loss=2.3142 test_acc=0.1534
epoch=10 train_loss=2.1640 train_acc=0.1875 test_loss=2.3086 test_acc=0.1555
time_to_90pct=not_reached elapsed=7.59s",
512,512,32,0.1,1.0,10,0,16.13510483799837,0.1376,inf,"epoch=7 train_loss=2.7229 train_acc=0.1875 test_loss=2.7821 test_acc=0.1419
epoch=8 train_loss=2.0757 train_acc=0.2500 test_loss=2.7135 test_acc=0.1476
epoch=9 train_loss=2.6128 train_acc=0.0000 test_loss=2.7400 test_acc=0.1371
epoch=10 train_loss=2.3373 train_acc=0.3125 test_loss=2.7277 test_acc=0.1376
time_to_90pct=not_reached elapsed=7.43s",
512,512,32,0.1,2.0,10,0,16.440659335999953,0.1944,inf,"epoch=7 train_loss=4.1935 train_acc=0.1250 test_loss=5.1192 test_acc=0.1695
epoch=8 train_loss=3.2406 train_acc=0.3125 test_loss=4.9453 test_acc=0.1902
epoch=9 train_loss=5.6788 train_acc=0.0000 test_loss=4.9404 test_acc=0.1926
epoch=10 train_loss=3.4178 train_acc=0.3125 test_loss=4.9059 test_acc=0.1944
time_to_90pct=not_reached elapsed=7.38s",
512,512,32,0.2,0.5,10,0,16.376952763999725,0.1333,inf,"epoch=7 train_loss=2.4907 train_acc=0.0625 test_loss=2.4059 test_acc=0.1155
epoch=8 train_loss=2.1415 train_acc=0.3125 test_loss=2.3793 test_acc=0.1311
epoch=9 train_loss=2.3427 train_acc=0.0625 test_loss=2.3945 test_acc=0.1317
epoch=10 train_loss=2.1768 train_acc=0.2500 test_loss=2.3883 test_acc=0.1333
time_to_90pct=not_reached elapsed=7.02s",
512,512,32,0.2,1.0,10,0,16.371452118997695,0.127,inf,"epoch=7 train_loss=3.1160 train_acc=0.0625 test_loss=3.1215 test_acc=0.1168
epoch=8 train_loss=2.3479 train_acc=0.2500 test_loss=3.0146 test_acc=0.1311
epoch=9 train_loss=2.7498 train_acc=0.1875 test_loss=3.0384 test_acc=0.1253
epoch=10 train_loss=2.5130 train_acc=0.1875 test_loss=3.0188 test_acc=0.1270
time_to_90pct=not_reached elapsed=7.76s",
512,512,32,0.2,2.0,10,0,15.415617855000164,0.1259,inf,"epoch=7 train_loss=5.9990 train_acc=0.1875 test_loss=6.9770 test_acc=0.1172
epoch=8 train_loss=4.0821 train_acc=0.1875 test_loss=6.4024 test_acc=0.1292
epoch=9 train_loss=5.8959 train_acc=0.0625 test_loss=6.2168 test_acc=0.1278
epoch=10 train_loss=4.2577 train_acc=0.3125 test_loss=6.1706 test_acc=0.1259
time_to_90pct=not_reached elapsed=7.11s",
512,256,64,0.05,0.5,10,0,15.805250584999158,0.1691,inf,"epoch=7 train_loss=2.0122 train_acc=0.1250 test_loss=2.2695 test_acc=0.1631
epoch=8 train_loss=1.8289 train_acc=0.3750 test_loss=2.2664 test_acc=0.1708
epoch=9 train_loss=1.9787 train_acc=0.3750 test_loss=2.2640 test_acc=0.1688
epoch=10 train_loss=2.2040 train_acc=0.1250 test_loss=2.2632 test_acc=0.1691
time_to_90pct=not_reached elapsed=7.14s",
512,256,64,0.05,1.0,10,0,16.74827529200047,0.1786,inf,"epoch=7 train_loss=1.7671 train_acc=0.2500 test_loss=2.5122 test_acc=0.1657
epoch=8 train_loss=1.9043 train_acc=0.2500 test_loss=2.5016 test_acc=0.1783
epoch=9 train_loss=1.8514 train_acc=0.3750 test_loss=2.5028 test_acc=0.1780
epoch=10 train_loss=2.0297 train_acc=0.3750 test_loss=2.5011 test_acc=0.1786
time_to_90pct=not_reached elapsed=7.79s",
512,256,64,0.05,2.0,10,0,17.174401118998503,0.1767,inf,"epoch=7 train_loss=1.7515 train_acc=0.5000 test_loss=3.8665 test_acc=0.1571
epoch=8 train_loss=2.8838 train_acc=0.2500 test_loss=3.8533 test_acc=0.1596
epoch=9 train_loss=2.4733 train_acc=0.1250 test_loss=3.8262 test_acc=0.1705
epoch=10 train_loss=2.4671 train_acc=0.2500 test_loss=3.8097 test_acc=0.1767
time_to_90pct=not_reached elapsed=7.76s",
