population,population_batch,group_size,sigma,es_lr,epochs,returncode,elapsed_s,last_test_acc,time_to_90_s,stdout,stderr
2048,256,32,0.05,1.0,30,0,33.21049609000329,0.5148,inf,"epoch=27 train_loss=1.4774 train_acc=0.5625 test_loss=1.5202 test_acc=0.5140
epoch=28 train_loss=1.3164 train_acc=0.5469 test_loss=1.5181 test_acc=0.5145
epoch=29 train_loss=1.4756 train_acc=0.5938 test_loss=1.5173 test_acc=0.5149
epoch=30 train_loss=1.4939 train_acc=0.5312 test_loss=1.5172 test_acc=0.5148
time_to_90pct=not_reached elapsed=24.06s",
2048,256,32,0.05,1.5,30,0,34.540004321002925,0.5082,inf,"epoch=27 train_loss=1.4726 train_acc=0.5781 test_loss=1.4779 test_acc=0.5057
epoch=28 train_loss=1.2109 train_acc=0.5625 test_loss=1.4749 test_acc=0.5072
epoch=29 train_loss=1.4855 train_acc=0.5000 test_loss=1.4738 test_acc=0.5079
epoch=30 train_loss=1.3708 train_acc=0.5781 test_loss=1.4736 test_acc=0.5082
time_to_90pct=not_reached elapsed=24.79s",
2048,256,32,0.05,2.0,30,0,33.14791335300106,0.5081,inf,"epoch=27 train_loss=1.5593 train_acc=0.6094 test_loss=1.5674 test_acc=0.5068
epoch=28 train_loss=1.3080 train_acc=0.5781 test_loss=1.5639 test_acc=0.5077
epoch=29 train_loss=1.4978 train_acc=0.4688 test_loss=1.5626 test_acc=0.5080
epoch=30 train_loss=1.3290 train_acc=0.5469 test_loss=1.5624 test_acc=0.5081
time_to_90pct=not_reached elapsed=23.73s",
2048,256,32,0.05,2.5,30,0,33.3669374509991,0.4959,inf,"epoch=27 train_loss=1.7244 train_acc=0.6250 test_loss=1.7905 test_acc=0.4950
epoch=28 train_loss=1.4708 train_acc=0.6094 test_loss=1.7872 test_acc=0.4952
epoch=29 train_loss=1.6301 train_acc=0.5156 test_loss=1.7851 test_acc=0.4958
epoch=30 train_loss=1.3931 train_acc=0.5625 test_loss=1.7847 test_acc=0.4959
time_to_90pct=not_reached elapsed=24.23s",
2048,256,32,0.05,3.0,30,0,33.623427801001526,0.4741,inf,"epoch=27 train_loss=2.0364 train_acc=0.6094 test_loss=2.1985 test_acc=0.4728
epoch=28 train_loss=1.7246 train_acc=0.5312 test_loss=2.1942 test_acc=0.4748
epoch=29 train_loss=2.0989 train_acc=0.5000 test_loss=2.1903 test_acc=0.4741
epoch=30 train_loss=1.5902 train_acc=0.6094 test_loss=2.1898 test_acc=0.4741
time_to_90pct=not_reached elapsed=24.70s",
2048,256,32,0.075,1.0,30,0,33.736870951004676,0.4951,inf,"epoch=27 train_loss=1.5214 train_acc=0.5312 test_loss=1.5745 test_acc=0.4932
epoch=28 train_loss=1.4047 train_acc=0.5312 test_loss=1.5708 test_acc=0.4949
epoch=29 train_loss=1.4651 train_acc=0.5469 test_loss=1.5696 test_acc=0.4949
epoch=30 train_loss=1.5605 train_acc=0.4688 test_loss=1.5695 test_acc=0.4951
time_to_90pct=not_reached elapsed=24.27s",
2048,256,32,0.075,1.5,30,0,32.992002933999174,0.482,inf,"epoch=27 train_loss=1.6513 train_acc=0.5312 test_loss=1.5632 test_acc=0.4793
epoch=28 train_loss=1.2776 train_acc=0.5469 test_loss=1.5590 test_acc=0.4812
epoch=29 train_loss=1.5208 train_acc=0.5469 test_loss=1.5572 test_acc=0.4818
epoch=30 train_loss=1.4846 train_acc=0.4531 test_loss=1.5570 test_acc=0.4820
time_to_90pct=not_reached elapsed=24.13s",
2048,256,32,0.075,2.0,30,0,33.15911759600567,0.479,inf,"epoch=27 train_loss=1.9116 train_acc=0.5938 test_loss=1.7791 test_acc=0.4779
epoch=28 train_loss=1.2939 train_acc=0.5625 test_loss=1.7752 test_acc=0.4792
epoch=29 train_loss=1.8564 train_acc=0.5156 test_loss=1.7732 test_acc=0.4793
epoch=30 train_loss=1.4615 train_acc=0.5469 test_loss=1.7728 test_acc=0.4790
time_to_90pct=not_reached elapsed=24.08s",
2048,256,32,0.075,2.5,30,0,32.96077730000252,0.4997,inf,"epoch=27 train_loss=2.2168 train_acc=0.6250 test_loss=2.0430 test_acc=0.4998
epoch=28 train_loss=1.4292 train_acc=0.5625 test_loss=2.0407 test_acc=0.4997
epoch=29 train_loss=2.1769 train_acc=0.4375 test_loss=2.0374 test_acc=0.4997
epoch=30 train_loss=1.4692 train_acc=0.5625 test_loss=2.0368 test_acc=0.4997
time_to_90pct=not_reached elapsed=24.34s",
2048,256,32,0.075,3.0,30,0,32.849150013993494,0.4936,inf,"epoch=27 train_loss=2.7573 train_acc=0.5938 test_loss=2.5843 test_acc=0.4919
epoch=28 train_loss=1.7773 train_acc=0.6094 test_loss=2.5783 test_acc=0.4932
epoch=29 train_loss=2.8962 train_acc=0.4062 test_loss=2.5755 test_acc=0.4933
epoch=30 train_loss=1.5226 train_acc=0.5938 test_loss=2.5746 test_acc=0.4936
time_to_90pct=not_reached elapsed=23.92s",
